Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
GN Yallop (AUS),1976-1984,39,70,3,2756.0,268,41.13,8,9,3,TEST,Batting,Batting
SJ McCabe (AUS),1930-1938,39,62,5,2748.0,232,48.21,6,13,4,TEST,Batting,Batting
Moin Khan (PAK),1990-2004,69,104,8,2741.0,137,28.55,4,15,5,TEST,Batting,Batting
Mahmudullah (BDESH),2009-2019,48,91,6,2739.0,146,32.22,4,16,10,TEST,Batting,Batting
Mohammad Ashraful (BDESH),2001-2013,61,119,5,2737.0,190,24.0,6,8,16,TEST,Batting,Batting
B Sutcliffe (NZ),1947-1965,42,76,8,2727.0,230*,40.1,5,15,5,TEST,Batting,Batting
Mohsin Khan (PAK),1978-1986,48,79,6,2709.0,200,37.1,7,9,3,TEST,Batting,Batting
Shoaib Mohammad (PAK),1983-1995,45,68,7,2705.0,203*,44.34,7,13,6,TEST,Batting,Batting
MG Burgess (NZ),1968-1980,50,92,6,2684.0,119*,31.2,5,14,5,TEST,Batting,Batting
Q de Kock (SA),2014-2019,44,74,5,2683.0,129*,38.88,5,18,5,TEST,Batting,Batting
JV Coney (NZ),1974-1987,52,85,14,2668.0,174*,37.57,3,16,3,TEST,Batting,Batting
Mominul Haque (BDESH),2013-2019,38,71,4,2657.0,181,39.65,8,13,8,TEST,Batting,Batting
Sarfaraz Ahmed (PAK),2010-2019,49,86,13,2657.0,112,36.39,3,18,4,TEST,Batting,Batting
Kamran Akmal (PAK),2002-2010,53,92,6,2648.0,158*,30.79,6,12,14,TEST,Batting,Batting
JA Rudolph (SA),2003-2012,48,83,9,2622.0,222*,35.43,6,11,8,TEST,Batting,Batting
FM Engineer (INDIA),1961-1975,46,87,3,2611.0,121,31.08,2,16,7,TEST,Batting,Batting
WW Hinds (WI),2000-2005,45,80,1,2608.0,213,33.01,5,14,6,TEST,Batting,Batting
MJ Guptill (NZ),2009-2016,47,89,1,2586.0,189,29.38,3,17,10,TEST,Batting,Batting
Sadiq Mohammad (PAK),1969-1981,41,74,2,2579.0,166,35.81,5,10,6,TEST,Batting,Batting
RD Jacobs (WI),1998-2004,65,112,21,2577.0,118,28.31,3,14,12,TEST,Batting,Batting
RS Mahanama (SL),1986-1998,52,89,1,2576.0,225,29.27,4,11,7,TEST,Batting,Batting
C Washbrook (ENG),1937-1956,37,66,6,2569.0,195,42.81,6,12,2,TEST,Batting,Batting
GS Blewett (AUS),1995-2000,46,79,4,2552.0,214,34.02,4,15,6,TEST,Batting,Batting
JN Rhodes (SA),1992-2000,52,80,9,2532.0,117,35.66,3,17,4,TEST,Batting,Batting
GP Howarth (NZ),1975-1985,47,83,5,2531.0,147,32.44,6,11,7,TEST,Batting,Batting
SM Nurse (WI),1960-1969,29,54,1,2523.0,258,47.6,6,10,3,TEST,Batting,Batting
EJ Barlow (SA),1961-1970,30,57,2,2516.0,201,45.74,6,15,3,TEST,Batting,Batting
TL Goddard (SA),1955-1970,41,78,5,2516.0,112,34.46,1,18,4,TEST,Batting,Batting
A Kumble (INDIA),1990-2008,132,173,32,2506.0,110*,17.77,1,5,17,TEST,Batting,Batting
BL D'Oliveira (ENG),1966-1972,44,70,8,2484.0,158,40.06,5,15,4,TEST,Batting,Batting
AL Logie (WI),1983-1991,52,78,9,2470.0,130,35.79,2,16,8,TEST,Batting,Batting
DW Randall (ENG),1977-1984,47,79,5,2470.0,174,33.37,7,12,14,TEST,Batting,Batting
W Bardsley (AUS),1909-1926,41,66,5,2469.0,193*,40.47,6,14,6,TEST,Batting,Batting
KR Rutherford (NZ),1985-1995,56,99,8,2465.0,107*,27.08,3,18,16,TEST,Batting,Batting
AP Gurusinha (SL),1985-1996,41,70,7,2452.0,143,38.92,7,8,3,TEST,Batting,Batting
P Roy (INDIA),1951-1960,43,79,4,2442.0,173,32.56,5,9,14,TEST,Batting,Batting
WJ Edrich (ENG),1938-1955,39,63,2,2440.0,219,40.0,6,13,3,TEST,Batting,Batting
DJ McGlew (SA),1951-1962,34,64,6,2440.0,255*,42.06,7,10,4,TEST,Batting,Batting
